TaxonId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,FullName,,AuthorYear,RankName,CurrentListing,FullAnnotationEnglish,AnnotationEnglish,AnnotationSpanish,AnnotationFrench,#AnnotationSymbol,#Annotation,SynonymsWithAuthors,EnglishNames,SpanishNames,FrenchNames,CitesAccepted,All_DistributionISOCodes,All_DistributionFullNames,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
100392,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,,,Acroteriobatus,,"Giltay, 1928",GENUS,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,,,,,TRUE,,,,,,,,,
100395,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,andysabini,,Acroteriobatus andysabini,,"Weigmann, Ebert & Séret, 2021",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,,Malagasy blue-spotted guitarfish,,,TRUE,MG,Madagascar,Madagascar,,,,,,
100396,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,annulatus,,Acroteriobatus annulatus,,"(Smith, 1841)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,,Lesser Sandshark,,,TRUE,"NA, ZA","Namibia, South Africa","Namibia, South Africa",,,,,,
100397,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,blochii,,Acroteriobatus blochii,,"(Müller & Henle, 1841)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatos blochii Müller & Henle, 1841",Bluntnose guitarfish,,,TRUE,"NA, ZA","Namibia, South Africa","Namibia, South Africa",,,,,,
100398,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,leucospilus,,Acroteriobatus leucospilus,,"(Norman, 1926)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatus leucospilus (Norman, 1926)",Grayspotted guitarfish,,,TRUE,"MZ, ZA","Mozambique, South Africa","Mozambique, South Africa",,,,,,
100399,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,ocellatus,,Acroteriobatus ocellatus,,"(Norman, 1926)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatus ocellatus (Norman, 1926)",Speckled Guitarfish,,,TRUE,"MZ, ZA","Mozambique, South Africa","Mozambique, South Africa",,,,,,
100400,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,omanensis,,Acroteriobatus omanensis,,"Last, Henderson & Naylor, 2016",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,,Oman guitarfish,,,TRUE,"IR, OM, PK, AE","Iran (Islamic Republic of), Oman, Pakistan, United Arab Emirates","Iran (Islamic Republic of), Oman, Pakistan, United Arab Emirates",,,,,,
100401,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,salalah,,Acroteriobatus salalah,,"(Randall & Compagno, 1995)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatos salalah (Randall & Compagno, 1995)",Salalah guitarfish,,,TRUE,"IR, OM, PK","Iran (Islamic Republic of), Oman, Pakistan","Iran (Islamic Republic of), Oman, Pakistan",,,,,,
100402,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,stehmanni,,Acroteriobatus stehmanni,,"Weigmann, Ebert & Séret, 2021",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,,Socotra blue-spotted guitarfish,,,TRUE,YE,Yemen,Yemen,,,,,,
100403,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,variegatus,,Acroteriobatus variegatus,,"(Nair & Lal Mohan, 1973)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatos variegatus (Nair & Lal Mohan, 1973)",Stripenose guitarfish,,,TRUE,"IN, LK","India, Sri Lanka","India, Sri Lanka",,,,,,
100404,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus,zanzibarensis,,Acroteriobatus zanzibarensis,,"(Norman, 1926)",SPECIES,II,Appendix II: ,Appendix II: ,Appendix II: ,Appendix II: ,,Appendix II: ,"Rhinobatos zanzibarensis (Norman, 1926)",Zanzibar guitarfish,,,TRUE,TZ,United Republic of Tanzania,United Republic of Tanzania,,,,,,
68004,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,,,Alopias,,"Rafinesque, 1810",GENUS,II,Appendix II: ,Appendix II:Listing agreed at CoP17 in October 2016 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP17 en octubre de 2016 con entrada en vigor retrasada de 12 meses. ,Appendix II:Inscription adoptée à la CoP17 en octobre 2016 avec entrée en vigueur reportée de 12 mois. ,,Appendix II: ,"Galeus , Vulpecula Jarocki, 1822, Vulpecula Garman, 1913, Vulpecula Valmont de Bomare, 1764, Alopecias Müller & Henle, 1837",,,,TRUE,,,,,,,,,
68007,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,pelagicus,,Alopias pelagicus,,"Nakamura, 1935",SPECIES,II,Appendix II: ,Appendix II:Listing agreed at CoP17 in October 2016 with entry into effect delayed by 12 months. ,Appendix II:Inclusión adoptada en la CoP17 en octubre de 2016 con entrada en vigor retrasada de 12 meses. ,Appendix II:Inscription adoptée à la CoP17 en octobre 2016 avec entrée en vigueur reportée de 12 mois. ,,Appendix II: ,,"Fox shark, Pelagic thresher, Smalltooth thresher shark, Whiptail shark","Tiburon zorro, Zorro de mar, Zorro pelágico","Renard pélagique, Requin-renard",TRUE,"AS, AU, BD, BN, KH, CN, CO, KM, CR, DJ, EC, EG, SV, ER, FJ, FR, PF, GU, GT, HN, HK, IN, ID, IR, IL, JP, JO, KE, KI, MO, MG, MY, MV, MH, MU, MX, FM, MZ, MM, NR, NC, NZ, NI, MP, OM, PK, PW, PA, PG, PE, PH, WS, SA, SC, SG, SB, SO, ZA, LK, SD, TW, TH, TL, TO, TV, AE, TZ, US, VU, VN, YE","American Samoa, Australia, Bangladesh, Brunei Darussalam, Cambodia, China, Colombia, Comoros, Costa Rica, Djibouti, Ecuador, Egypt, El Salvador, Eritrea, Fiji, France, French Polynesia, Guam, Guatemala, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Israel, Japan, Jordan, Kenya, Kiribati, Macao, SAR, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritius, Mexico, Micronesia (Federated States of), Mozambique, Myanmar, Nauru, New Caledonia, New Zealand, Nicaragua, Northern Mariana Islands, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Samoa, Saudi Arabia, Seychelles, Singapore, Solomon Islands, Somalia, South Africa, Sri Lanka, Sudan, Taiwan, Province of China, Thailand, Timor-Leste, Tonga, Tuvalu, United Arab Emirates, United Republic of Tanzania, United States of America, Vanuatu, Viet Nam, Yemen","Australia, China, Costa Rica, Djibouti, Ecuador, Egypt, El Salvador, Eritrea, Fiji, French Polynesia, Guatemala, India, Indonesia, Iran (Islamic Republic of), Israel, Japan, Jordan, Kenya, Kiribati, Madagascar, Maldives, Mexico, Micronesia (Federated States of), Mozambique, New Caledonia, New Zealand, Oman, Pakistan, Peru, Saudi Arabia, Somalia, South Africa, Sudan, Taiwan, Province of China, Thailand, United Arab Emirates, United Republic of Tanzania, United States of America, Yemen",,,,,,"American Samoa, Bangladesh, Brunei Darussalam, Cambodia, Colombia, Comoros, France, Guam, Honduras, Hong Kong, SAR, Macao, SAR, Malaysia, Marshall Islands, Mauritius, Myanmar, Nauru, Nicaragua, Northern Mariana Islands, Palau, Panama, Papua New Guinea, Philippines, Samoa, Seychelles, Singapore, Solomon Islands, Sri Lanka, Timor-Leste, Tonga, Tuvalu, Vanuatu, Viet Nam"
