sc_name,redlist,description,trade,RankName,cites,cm_name,country
Acroteriobatus annulatus,Vulnerable,"The Lesser Guitarfish (Acroteriobatus annulatus) is a small (to 140 cm total length) benthic shark-like ray endemic to southern Africa in the Southeast Atlantic and Western Indian Oceans from central Namibia to KwaZulu-Natal, South Africa. It inhabits inshore waters, including estuaries, from the shoreline to a depth of 75 m. The species matures at a relatively young age of 3 years, has an annual reproductive cycle, and litters of 2â€“10 pups. The Lesser Guitarfish is taken as bycatch of trawl, commercial and recreational line, beach seine, and gillnet fisheries, and mostly discarded with post-release mortality varying by gear and likely ranging from 0â€“33%. It may be retained by some fishers, and targeted by artisanal fishers for the good quality meat and high value fins. Trend analyses of research trawl data in South African commercially fished areas estimated a population reduction of 44% over the past three generation lengths (15 years) while trend analysis of angler surveys in the De Hoop Marine Protected Area (MPA) estimated a population increase of 14% over the past three generation lengths (15 years). The reduction in research trawls is partly driven by a steep decline in catches during the early 1990s when fishing pressure in South Africa was substantially higher. Climate change likely contributed to a northeast and inshore range shift away from the research trawl grounds that may account for some of the estimated population reduction, but that also likely represents a range contraction and decline in area of occupancy for the Lesser Guitarfish. The estimated population increase in the De Hoop MPA surveys may be a reflection of the inshore range shift of the species. Overall, due to an estimated population reduction over most of its range and a substantial reduction in fishing effort in South Africa, combined with a suspected range shift due to climate change that could account for some of the estimated reduction but also likely represents a decline in area of occupancy, it is suspected that the Lesser GuitarfishÂ has undergone a population reduction of 30â€“49% over the past three generation lengths (15 years), and it is assessed as Vulnerable A2bcd.",The Lesser Guitarfish is likely to be utilized locally for its good quality meat with the valuable fins traded internationally (Moore 2017).,SPECIES,Appendix II: ,Lesser Sandshark,"Namibia, South Africa"
Acroteriobatus blochii,Least Concern,"The Bluntnose Guitarfish (Acroteriobatus blochii) is a small (to 96 cm total length) benthic shark-like ray that inhabits shallow sandy areas in the Southeast Atlantic from southern Angola to Cape Town, South Africa. This species is caught in gillnet, beach seine, and recreational line fisheries; however, much of its range is found off remote coastal areas that are not subjected to fishing pressure. Diamond mining on the Namibian coast may threaten this species' habitat to some degree. Although further research is needed on distribution, life history, population size and trends, and threats, the population trend is suspected to be stable; therefore, the Bluntnose Guitarfish is assessed as Least Concern. Species-specific monitoring of catch should be undertaken in all fisheries in the area.",This species is not known to be used or traded. It is likely to be utilized locally in some areas for meat and the fins are valuable in trade. Other members of the genus are often targeted for their fins in artisanal fisheries (Moore 2017).,SPECIES,Appendix II: ,Bluntnose guitarfish,"Namibia, South Africa"
Acroteriobatus leucospilus,Endangered,"The Greyspot Guitarfish (Acroteriobatus leucospilus) is a small (to 120 cm total length) coastal ray that occurs in the Western Indian Ocean off the coasts of Madagascar and East Africa from the Eastern Cape, South Africa to Tanzania and Zanzibar in shallow subtidal areas to a depth of 100 m. This species is captured by industrial trawl and gillnet fisheries as well as artisanal fisheries. Rhinobatids are known to be susceptible to population depletion as a result of their limiting life-history characteristics and they are often targeted for the high value of their fins. Heavy artisanal fishing pressure occurs throughout the majority of this species' range, and it has been noted that guitarfishes have decreased in size due to fishing pressure in Madagascar. There may be some recovery occurring in South Africa given that fishing effort in the inshore trawl fishery has been limited since 2007. Overall, due to heavy and increasing fishing pressure, it is suspected that this species has undergone a population reduction of at least 50% over the past three generations (15 years). Therefore, the Greyspot Guitarfish is assessed as Endangered A2d. Research is required on life-history, abundance, interaction with fisheries, and population trends.","This species is sold fresh or dried and salted locally for meat. Like other guitarfishes, they are targeted in Madagascar and possibly other areas for their fins which are valuable and are exported to Asia. Individuals are often not landed in industrial fisheries and are instead transshipped at sea for subsequent transport to Asia (McVean et al. 2006, Cripps et al. 2015).",SPECIES,Appendix II: ,Grayspotted guitarfish,"Mozambique, South Africa"
Acroteriobatus ocellatus,Data Deficient,"The Speckled Guitarfish (Acroteriobatus ocellatus) is a small (to 81 cm total length) demersal shark-like ray that inhabits the outer continental shelf in the Southeast Atlantic and Western Indian Ocean off South Africa and Mozambique at depths of 60â€“185 m. Demersal trawl, longline, and gillnet fisheries likely capture this species, although no data are available on the level of interactions with these fisheries. This guitarfish is rare and is known from very few specimens. There are no population size estimates, and further research is needed on distribution, life history, population size and trends, and threats (in particular interactions with fisheries). Therefore, the Speckled Guitarfish is assessed as Data Deficient.","This species is likely to be utilized locally for meat and fins. Other members of the genus are often targeted for their fins in artisanal fisheries, which are valuable and traded internationally (Moore 2017).",SPECIES,Appendix II: ,Speckled Guitarfish,"Mozambique, South Africa"
Acroteriobatus omanensis,Data Deficient,"The Oman Guitarfish (Acroteriobatus omanensis) is a poorly-known species with a restricted distribution in inshore waters of the Sea of Oman. It has only recently (2016) been described and is known from only a handful of specimens. Its biology and ecology are unknown, but assumed to be similar to other small rhinobatids. Given the limited number of specimens it is assessed as Data Deficient. Further research and monitoring are required to understand the status of this species as it occurs in a region with relatively intense coastal fishing.","Given the rarity of this species there is no information on use and trade beyond the fact that it is known from fishery landings. However, similar to other species of guitarfish in the region, its fins and meat likely enter the international trade.",SPECIES,Appendix II: ,Oman guitarfish,"Iran (Islamic Republic of), Oman, Pakistan, United Arab Emirates"
Acroteriobatus salalah,Near Threatened,"The Salalah GuitarfishÂ (Acroteriobatus salalah) is reportedly uncommon off Oman and Pakistan. Guitarfish are commonly caught in gillnet, trawl and line fisheries throughout the region, but specific threats to this species are poorly known due to the lack of information on distribution and fisheries data. Declines of several species of inshore guitarfish have been documented within the region and present levels of catches are of concern. Limited available information for this species makes assessment difficult, but it is suspected to have declined by &lt;30% across its range given the regular capture in Pakistan where fishing is intense. Furthermore, ongoing fishing is suspected to result in a future decline over the next three generation periods (2017-2032). The species is therefore assessed as Near Threatened (nearly meeting VU A2d+3d). Further investigation of this species is required to accurately define its range, biology, extent of catches in local fisheries and levels of declines. This assessment should be revisited as soon as this is available.","Given that this species is reportedly uncommon, there is no information on use and trade beyond the fact that it is known from fishery landings.Â However, similar to other species of guitarfish in the region, its fins and meat likely enter the international trade.",SPECIES,Appendix II: ,Salalah guitarfish,"Iran (Islamic Republic of), Oman, Pakistan"
Acroteriobatus variegatus,Critically Endangered,"The Stripenose Guitarfish (Acroteriobatus variegatus) is a little known guitarfish with a restricted distribution off southern India and Sri Lanka. It occurs on the continental shelf, mainly at depths of 10-40 m, although the type specimen was reportedly collected from 366 m which would be unusual for a rhinobatid. There is also some information that indicates it prefers coral reefs. It is a small guitarfish, reaching 75 cm total length, with a small litter size (mostly 1-4, occasionally up to six). The entire range of this species is subject to intense and increasing fishing pressure with large numbers of trawlers operating around southern India (as well as other fishing gear). Significant declines (86%) in the landings of wedgefishes and guitarfishes combined have been documented from only a short period of time (over the five years since 2002) at a landing site in Tamil Nadu. This is the equivalent of &gt;97% decline for the Stripenose Guitarfish over the the last three generation periods (15 years). This is likely to be fully representative of the species' entire range. Ongoing intense fishing pressure, as well as declines in the quality of coral reefs raise serious concerns for this species, and a future population decline is suspected over the next three generations (2017-2032). The species is therefore assessed as Critically Endangered A2cd+3cd.",The meat of this species is often sold fresh for human consumption at local markets and also enters the international trade in dried form. Ray meat is increasing in demand and therefore prices in India are also increasing.,SPECIES,Appendix II: ,Stripenose guitarfish,"India, Sri Lanka"
Acroteriobatus zanzibarensis,Near Threatened,"This is an amended version of the 2006 assessment to accommodate recent taxonomic revision of the genus Rhinobatus.This is an apparently rare coastal rhinobatid endemic to Zanzibar, Tanzania, but known only from the type specimens. It is a large species of guitarfish, reaching at least 205 cm total length. Survey work has failed to locate other individuals in and around Zanzibar, the adjacent Tanzanian coast and the wider East African region. Coastal rhinobatids are susceptible to capture in a variety of fishing gear including trawl, gillnet, line and seine net and their occurrence along inshore areas of the continental shelf makes these rays an easy target for such fisheries. Target fisheries for guitarfish currently exist in several countries particularly in the Indo-West Pacific and declines in some species have been documented. When taken, flesh is utilized and the fins of larger species (possibly including A. zanzibarensis) enter the international fin trade for the Asian market. Coastal waters of Zanzibar are consistently fished by artisanal fishers mostly using traditional vessels. A wide variety of gear is employed including drag nets, spear, handline, seine nets and fish traps. Rays are known to be caught and retained and shark fin is marketed. If A. zanzibarensis is restricted to the inshore continental shelf around Zanzibar, the majority of its available habitat would be fished by a variety of gear. Various regulations govern gear use in Zanzibar, but there are issues with enforcement and so illegal and sometimes destructive fishing activities still occur. The present level of fishing in coastal areas of Zanzibar is of concern for this large, rare and limited range guitarfish. If however, the species is found to have a wider range into deeper waters, it may presently persist due to the limited range of traditional fishing vessels. Fishing pressure outside coastal areas is minimal at present in Tanzania. Although a little known species, given its large size, rarity, and restricted range as presently known, the species is assessed as Near Threatened. There is an equal possibly that the species may no longer exist in the wild, or that remnant populations presently exist beyond the range of traditional fisheries operating around Zanzibar. Further research (including continued market and fishing surveys) is required to document habitat, distribution and to locate any remnant populations.",NA,SPECIES,Appendix II: ,Zanzibar guitarfish,United Republic of Tanzania
Alopias pelagicus,Endangered,"The Pelagic Thresher (Alopias pelagicus) is a large (to 365 cm total length), wide-ranging Indo-Pacific pelagic shark that occurs from the surface to depths of 300 m. It has a low fecundity (average two pups per litter) and a very low annual rate of population increase of 0.033. The species is caught as target and bycatch in pelagic and coastal commercial and small-scale longline, purse seine, and gillnet fisheries. The species is often retained for its meat and fins unless domestic or international regulations prohibit retention. However, high at-vessel mortality remains a threat even where retention is prohibited. The Pelagic Thresher is especially susceptible to fisheries exploitation because its epipelagic habitat occurs within the range of many largely unregulated and under-reported, small-scale and artisanal gillnet and longline fisheries, in which it is readily caught. The species is estimated to be declining in both the Pacific and Indian Oceans. Across its Indo-Pacific distribution, the Pelagic Thresher is estimated to have reduced by 50â€“79% over the last three generations (55.5 years), based on abundance data and levels of exploitation, and therefore the species is assessed as Endangered A2bd.","The species is used for its meat, fins, liver oil, and skin (Compagno 2001, Jabado et al. 2015). The three species of thresher shark, Pelagic Thresher, Bigeye Thresher,Â and Common Thresher, collectively accounted for 2â€“3% in 1991â€“2001 and 0.5% in 2014, of the fin imported in Hong Kong (Clarke et al. 2006a, Fields et al. 2018).",SPECIES,Appendix II: ,"Fox shark, Pelagic thresher, Smalltooth thresher shark, Whiptail shark","American Samoa, Australia, Bangladesh, Brunei Darussalam, Cambodia, China, Colombia, Comoros, Costa Rica, Djibouti, Ecuador, Egypt, El Salvador, Eritrea, Fiji, France, French Polynesia, Guam, Guatemala, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Israel, Japan, Jordan, Kenya, Kiribati, Macao, SAR, Madagascar, Malaysia, Maldives, Marshall Islands, Mauritius, Mexico, Micronesia (Federated States of), Mozambique, Myanmar, Nauru, New Caledonia, New Zealand, Nicaragua, Northern Mariana Islands, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Samoa, Saudi Arabia, Seychelles, Singapore, Solomon Islands, Somalia, South Africa, Sri Lanka, Sudan, Taiwan, Province of China, Thailand, Timor-Leste, Tonga, Tuvalu, United Arab Emirates, United Republic of Tanzania, United States of America, Vanuatu, Viet Nam, Yemen"
Alopias superciliosus,Vulnerable,"The Bigeye Thresher (Alopias superciliosus) is a large (to 484 cm total length) pelagic shark, occurring worldwide in tropical and temperate seas from the surface down to depths of 955 m. It has a low fecundity (average two pups per litter) and the lowest intrinsic rebound potential of the thresher shark species. It is caught globally as target and bycatch in pelagic and coastal commercial and small-scale longline, purse seine, and gillnet fisheries. Although intrinsically more sensitive to over-exploitation, the Bigeye Thresher is generally deeper and less catchable than its tropical congener the Pelagic Thresher (A. pelagicus). The Bigeye Thresher is often retained for the meat and fins unless domestic or international regulations prohibit retention. However, high at-vessel mortality remains a threat where retention is prohibited. The species is estimated to be declining in the Atlantic and Indian Oceans, and increasing in a large area around Hawaii with the trends uncertain in the wider Pacific. Globally, the population is estimated to have reduced by 30â€“49% over the last three generations (55.5 years), based on abundance data and current levels of exploitation. The Bigeye Thresher is therefore assessed as Vulnerable A2bd.","The species is used for its meat, fins, liver oil, and skin (Compagno 2001, Jabado et al. 2015). Three species of thresher shark, Bigeye Thresher, Pelagic Thresher, and Common Thresher (A. vulpinus), collectively accounted for 2â€“3% in 1991â€“2001 and 0.5% in 2014, of the fins imported in Hong Kong (Clarke et al. 2006a, Fields et al. 2018).",SPECIES,Appendix II: ,"Bigeye thresher, Bigeye thresher shark, False thresher, Long-tailed shark, Whiptail","Algeria, American Samoa, Angola, Anguilla (United Kingdom), Antigua and Barbuda, Argentina, Aruba, Australia, Bahamas, Bangladesh, Barbados, Belize, Bermuda (United Kingdom), Bonaire, Saint Eustatius and Saba, Brazil, British Virgin Islands (United Kingdom), Brunei Darussalam, Cabo Verde, Cambodia, Cameroon, Canada, Cayman Islands (United Kingdom), Chile, China, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Costa Rica, CÃ´te d'Ivoire, Cuba, CuraÃ§ao, Democratic Republic of the Congo, Djibouti, Dominica, Dominican Republic, Ecuador, El Salvador, Equatorial Guinea, Fiji, France, French Guiana [FR], French Polynesia, Gabon, Gambia, Ghana, Gibraltar (United Kingdom), Greece, Grenada, Guadeloupe, Guam, Guatemala, Guinea, Guinea Bissau, Guyana, Haiti, Honduras, Hong Kong, SAR, India, Indonesia, Iran (Islamic Republic of), Ireland, Italy, Jamaica, Japan, Kenya, Kiribati, Liberia, Libya, Macao, SAR, Madagascar, Malaysia, Maldives, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia (Federated States of), Monaco, Montserrat (United Kingdom), Morocco, Mozambique, Myanmar, Namibia, Nauru, New Caledonia, New Zealand, Nicaragua, Nigeria, Niue, Northern Mariana Islands, Oman, Pakistan, Palau, Panama, Papua New Guinea, Peru, Philippines, Pitcairn Islands (United Kingdom), Portugal, Puerto Rico, RÃ©union, Saint Helena and Dependencies (United Kingdom), Saint Kitts and Nevis, Saint Lucia, Saint-Martin, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Singapore, Sint Maarten, Solomon Islands, Somalia, South Africa, Spain, Sri Lanka, Suriname, Taiwan, Province of China, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkey, Tuvalu, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanzania, United States of America, Uruguay, Vanuatu, Venezuela (Bolivarian Republic of), Viet Nam, Virgin Islands of the USA, Wallis and Futuna Islands, Western Sahara, Yemen"
